,user_a,user_b
6674,"Vậy tui chơi trước nha, xíu học xong nhắn tui",Ok nha. Ủa mà chơi game gì vậy?
6675,Game gì cũng được. Cho bạn chọn đó,Lâu này không chơi game có biết chơi game gì đâu
6676,Bạn chơi được CSGO không?,"Có, mà máy mới chưa tải?"
6677,"Vậy giờ tải đi, xíu chơi là ổn",Ok tải liền đây
6678,Sở thích của bạn là gì?,"Tôi thích là chơi game, xem phim và nghe nhạc"
6679,Còn bạn thích gì?,"Tôi có sở thích khá đặc biệt, thích ăn và ngủ thôi"
6680,Sở thích như bạn chắc ai cũng có quá… <eos> Rồi bạn thích ăn loại đồ ăn nào?,"Đồ ăn nhanh, phải cay nha <eos> Còn bạn thường xem phim gì vậy?"
6681,"Phim kinh dị, phim tình cảm lãng mạn","Tôi sợ ma lắm, nên không xem phim kinh dị, phim tình cảm thì xem được"
6682,Có phim hay rủ xem cùng nha,"Nhất trí, đang có mấy bộ hay lắm"
6683,Lâu rồi tụi mình không đi chơi nhỉ?,Ừ. Hay kiếm chỗ nào đi vài hôm đi
6684,"Ok luôn, mà bạn rảnh lúc nào để còn biết sắp xếp",Tháng sau tôi rảnh á
6685,"Tôi cũng rảnh, vậy đầu tháng sau đi luôn nha",Được luôn bạn tôi ơi <eos> Mà đi đâu
6686,Đà Lạt được không,Thôi đi biển đi
6687,Vậy Vũng Tàu đi,Chốt đơn
6688,"Chào bạn, cho mình làm quen được không ?","Chào, rất vui được làm quen với bạn"
6689,Cho mình hỏi bạn tên gì vậy ?,Mình tên Đá 
6690,"Oh, tên bạn lạ quá ha","Ừ, ai gặp mình cũng nói vậy"
6691,"Haha, nhưng mình nghĩ cái tên đó cũng rất hay <eos> Chắc ba mẹ bạn không muốn bạn sa vào mấy tệ nạn như đập đá, hút chích",Thiệt ra ba mẹ đặt tên mình là muốn đặt tên theo các loại đá quý đó
6692,Đi Vũng Tàu không mày?,"Oke luôn, vậy khi nào triển?"
6693,Được thì chủ nhật này đi luôn,Đi thì đi chứ sợ gì mày
6694,"Vậy soạn đồ đi mày, sáng mai tao qua rước",Đi qua đêm hay trong ngày để biết ?
6695,Sáng đi chiều về cho nó chất,"Vậy thôi khỏi soạn gì cho mệt, một bộ cho ngầu"
6696,"Oke vậy mai tao qua đó, nhớ dậy sớm",Oke bồ
6697,Sáng mai dậy sớm đi chạy bộ đi bạn?,"Tối nay tôi chạy deadline, mai chắc không dậy sớm được"
6698,Học nhiều môn lắm hả? <eos> Thấy deadline dí miết vậy?,"Có 5 môn chuyên ngành à, tại nhiều bài cùng lúc nên dạo này có liên tục"
6699,Vậy hôm nào rảnh? Đi chạy hay chơi cầu lông gì đi,Thứ 7 tôi rảnh á?
6700,Vậy sáng thứ 7 đi chạy nha?,"Ý là thứ 7 không có deadline, nên chủ nhật đi"
6701,Mai đi xem phim không bạn?,Mai mấy giờ vậy?
6702,"Chắc xem xuất 19h đi, được ko?",19h tôi bận rồi <eos> Bạn xem vào chiều được không?
6703,"Chiều mai tôi bận rồi, giờ sao?","Vậy bữa kia thì sao, bạn rảnh không?"
6704,Tối kia tôi rảnh,"Vậy chốt nha, 18h30 tôi qua đón"
6705,"Hôm nay, mình được cô cho điểm mười.",Thế à? Môn gì thế?
6706,Môn Văn.,Giỏi _x0008_thế! _x001d_Bạn chỉ cho mình cách học giỏi môn Văn với nhé!
6707,Đâu có gì khó chỉ là vốn từ ngữ và sự quan sát độc đáo sẽ giúp chúng ta thêm phần tiến bộ hơn. Nhưng ...,Nhưng sao?
6708,Nhưng theo mình vẫn nhờ vào sự kiên trì là nhiều nhất!,Nhờ sự kiên trì ư?
6709,"Đúng vậy, có kiên trì chịu khó chau chuốt kiến thức thì mới có được thành công.",Có lẽ cậu nói đúng! Mình cảm ơn nhiều.
6710,Bạn thường làm gì vào những lúc rảnh rỗi?,Mình rất thích xem các bộ phim nước ngoài. Còn bạn thì sao?
6711,"Mình thích các hoạt động ngoài trời. 
Bạn có thích cắm trại không?","Chỉ cắm trại qua 1 đêm thì không sao, mình không thể cắm trại qua nhiều hơn 1 đêm được!"
6712,"
Bạn đã bao giờ cắm trại ở Đà Lạt chưa?","Chưa, nhưng mình rất thích được cắm trại ở đó. Mình nghe nói đó là nơi rất tuyệt"
6713,Nó rất lãng mạn. Mình và mọi người trong gia đình đều thích nơi này.,"
Bạn có bức ảnh về cảnh cắm trại ở đó không?"
6714,"Có chứ, bạn có muốn xem không?",Hay quá!
6715,"Chào Thức, lâu quá không gặp, _x001d_bạn khỏe không?","Mình khỏe, còn bạn thì sao?"
6716,"Mình cũng khỏe, Sáng mai bạn có thời gian rảnh không?","Ừ, sáng mai mình rảnh."
6717,Sáng mai mình đi xem phim nha?,Được đó. Phim bắt đầu lúc mấy giờ vậy?
6718,Khoảng 10 giờ.,Bạn qua chở mình đi được không?
6719,"OK, mình sẽ đến đón cậu sớm hơn một chút và chúng ta sẽ đến quán cafe cạnh rạp chiếu phim, như vậy được không?","_x001d_Được, mình rất thích nơi đó. Hẹn gặp _x001d_bạn ngày mai."
6720,Tạm biệt,Tạm biệt
6721,Có chơi thể thao không Thức?,Có mày.
6722,Mày chơi môn gì nhỉ?,"Tao chơi bóng đá, bóng rổ, cầu lông, bơi lội."
6723,Mày chơi nhiều vậy. <eos> Vậy chứ mày giỏi nhất môn gì?,Bóng đá.
6724,Mày chơi vị trí nào?,Tiền vệ.
6725,Vậy hôm nào tao với mày lập team đá giao lưu không?,Chơi luôn.
6726,Ngày mai ông rảnh không ?,"Có ông, chi vậy ông?"
6727,Mai ông đi Vũng Tàu với tui không?,"Được ông, mình đi bao nhiêu người vậy ông?"
6728,5 người đó ông. <eos> Ngày mai ông đi xe đến nhà tui đón tui rồi mình đi nha!,Được thôi.
6729,"ê, tối nay xem phim không?","có, xem phim gì mày?"
6730,Jurassic World Dominion mày,"thôi mày, tao đâu thích xem phim khủng long <eos> hay đi xem phim tình cảm đi <eos> mới ra phim Kẻ thứ ba kìa mày"
6731,đi bơi không mày?,ok con dê <eos> khi nào đi?
6732,cuối tuần này,mấy giờ?
6733,2h chiều,"ok, nhớ nhắc tao"
6734,"Ê mày, có phim nào hay hay để coi hông?","À tao có phim này hay lắm, để tao search google cho xem <eos> Đây nhìn nè, phim này đó"
6735,"""No country for old men"", cái tên phim nghe ngộ vậy?","Phim ra năm 2007, thắng giải Oscar năm 2008 đó, tuy cũ mà hay"
6736,Để tao xem trên Netflix coi có không xem luôn cho nóng <eos> À có trên Netflix luôn nè,"Đấy, xem luôn cho nóng"
6737,Tao mới mua bàn phím cơ mới nè,Bàn phím gì đấy?
6738,Logitech G512,Dùng switch gì?
6739,GX Brown Switch,Sao không dùng blue switch gõ nghe cho đã tai?
6740,"Blue switch gõ nhiều ồn phiền người khác lắm, chọn brown switch là hợp lý","Ừ, vậy cũng được"
6741,"Eh, nghe bảo xu hướng năm nay là quần áo có họa tiết nổi bậc","Ừ, các màu như đỏ, cam, vàng,… đang dần thịnh hành hơn"
6742,Eh nhưng mà mặc dù các màu sắc nổi bật được ưa chuộng nhưng mà màu Pastel vẫn chưa out trend nha,"Mấy màu Pastel đó đi đôi với gout thời trang trưởng thành, thanh lịch mà ba, nên làm sao mà hết thời được"
6743,"Tao cũng đang định dấng thân vào thời trang công sở bro, nhưng mà mấy đứa bạn tao bảo nhìn như đa cấp",Tao nghĩ mày hợp với street style hơn
6744,"Hmmm, may be, nhưng mà đã quyết định thay đổi gout ăn mặc nhẹ nhàng, tinh tế hơn rồi ba haha","Ok, It's up to you"
6745,"Ay yo, what's up bro","Ay yo, lâu rồi không gặp bro, dạo này phát tướng ra nha"
6746,"Haha, ông quá khen chứ tui thấy tui cũng không khá hơn xưa mấy","Thấy mặc quần áo hiệu, mang trang sức đầy người mà ông cứ khiêm tốn"
6747,"Haha may mắn thôi ông ơi, từ lúc tập tành chơi rap đến giờ cũng 6 năm rồi, mà giờ mới thấy có cơ hội phát triển","Tính ra ông ghê phết, dạo này tên tuổi bắt đầu mon men trên mấy cái bảng xếp hạng âm nhạc rồi ha"
6748,"Ầy, cũng là nhờ có sự đổi mới trong phong cách, làm nhạc theo xu hướng của thị trường thì mới có đà mà đi lên, chứ không thì giờ tui là ai, tui ở đâu có khi chính tui còn không biết nữa kìa ","Ừ mà ông cũng chịu khó ha, hồi xưa mê Rap Old School, sống chết với Original mà giờ cũng chịu thay đổi đóng tune cho hợp xu hướng"
6749,"Thì mình sống được hay không là nhờ khán giả mà ông, người ta muốn mình hát Bolero thì cũng đành phải chịu chứ haha",Đang nói về Rap mà ông mang Bolero vào
6750,Vậy là ông chưa thấy có mấy ca sĩ cover nhạc trẻ theo phong cách Bolero rồi haha,"Cái đó mang tính giải trí nhiều hơn ông ơi, giải trí ở đây là nghe cho vui chứ người ta đâu có quan tâm đến kỹ thuật thanh nhạc đâu"
6751,"Thì cái gì mới, cái gì lạ thì lại càng dễ thành xu hướng mà, có người nhờ drama mà nổi tiếng trong một đêm, đâu phải ca sĩ nào cũng tập trung vào kỹ thuật đâu ông, cứ xinh đẹp sexy thì lại càng có nhiều đại gia tìm đến, lúc đấy thì cứ việc ở nhà mà chơi golf thôi chứ đi hát làm gì cho cực hả ông","Haha nói là vậy, nhưng tui thì vẫn thích hiphop, sống có hiphop, chết đi vẫn không bỏ hiphop"
6752,Sắp tới có rất nhiều phim chiếu rạp hay lắm đó!,"Vậy hả, bạn có dự định xem phim gì không?"
6753,Chắc mình sẽ đi coi phim Doctor Strange 2 <eos> Còn bạn thì sao?,Mình cũng chưa rõ nữa! <eos> Dạo này mình chưa có thời gian rảnh lắm.
6754,Cuối tuần này bạn có rảnh không?,Để mình kiểm tra xem… <eos> Chắc là có đó.
6755,Vậy bạn có muốn cuối tuần này đi với mình không?,Cũng được đó! <eos> Bạn có định rủ ai đi chung đông vui nữa không? <eos> Hay là chỉ có 2 đứa mình thôi.
6756,Chắc chỉ có 2 đứa mình thôi á.,"Ok, vậy cũng được bạn lên kế hoạch đi rồi báo mình nha."
6757,"Alo, bạn được ra khỏi lớp chưa?","Mình đây, mình đang ở dưới ghế đá ở trước cổng toà A rồi này."
6758,"Bạn có đi ăn không, mình đi chung với nhau đi.","Cũng được đó, mình cũng hơi đói rồi. <eos> Vậy cậu muốn ăn?"
6759,"Ăn bò kho, hủ tiếu hoặc mấy món nước cũng được. <eos> Cậu có biết quán nào ngon không?",Có mình biết một quán mấy món nước khá ngon <eos> Ở đó có bò kho ngon lắm.
6760,Hấp dẫn đó <eos> Vậy mình hẹn nhau ở cổng chính nha,Bạn ra đi mình sẽ đợi.
6761,Cậu thích quần áo như thế nào?,Mình thích mấy loại áo rộng rộng một xíu.
6762,"A, bên này có mấy cái áo khá hợp với cậu này. <eos> Trông nó cũng khá rộng rãi và thoáng mát đó",Để mình xem thử <eos> Mấy cái này cũng được nhưng mà nó hơi không đẹp lắm.
6763,"Cậu cứ lựa đi, để mình đi kiếm thêm ở mấy dãy này. <eos> Ở bên này này, nhìn dễ thương và đẹp hơn này",Mấy bộ này xinh này! <eos> Mình lựa được mấy bộ rồi này
6764,"Cậu thấy được chưa, cứ lựa thêm tí nữa cũng được",Nhiêu đây chắc cũng đủ rồi đó
6765,Mình đi tính tiền thôi,Được rồi đi thôi!
6766,"Nay có trận Việt Nam đá đó, cậu có xem không?","Hôm nay hả, mấy giờ vậy?"
6767,19h nha,Giờ dó chắc mình coi trễ một tí <eos> Có gì cậu xem đi tí nữa hiệp 2 mình mới coi
6768,"Trận hôm nay hấp dẫn lắm, ráng xong coi sớm nha","Hehe, có gì cậu kể mình nghe tỉ số hiệp 1 là được"
6769,"Không nha, cho cậu tự coi",Vậy mình sẽ tự coi lại vậy
6770,"Ê, cậu rảnh chưa tới giờ lên chơi rồi",Đợi mình một xí. <eos> Đã đầy đủ team chưa vậy.
6771,"Còn cậu với thằng Tâm thôi đó,",Oke mình lên liền nha
6772,Nhưng mà hôm nay chơi bắn súng nha.,Sao vậy?
6773,Nay cả nhóm định chơi thử game bắn súng mới ra.,"Được thôi, chơi game nào mình cũng thích cả."
6774,Chào bạn,Xin chào
6775,Bạn tên là gì ?,Mình tên Tùng <eos> còn bạn tên là gì?
6776,Minh Phương <eos> Bạn sinh viên khoa nào?,Mình sinh viên khoa CNTT
6777,Mình cũng vậy <eos> Bạn là sinh viên khóa mấy vậy?,Mình sinh viên khóa 22
6778,Tối nay qua có xem Việt Nam đá Sea Games không?,"Không, tối qua tao bận làm bài tập"
6779,"Tiếc thật, Việt Nam đá hay mà mày không xem",Tỉ số bao nhiêu vậy
6780,Việt Nam thằng Indonesia 3 bàn,Quang Hải có ghi bàn không?
6781,Tối nay đi xem phim không bạn?,Xem ở đâu thế?
6782,Lotte Mart Quận 7,Mấy giờ?
6783,7 giờ tối,"Ok, mình đi được <eos> Xem Doctor Strange hả bạn?"
6784,"Không, Mình với Nguyên đi xem Fantastic Beast <eos> Bạn xem phim đó không <eos> Xem thì mình đặt vé chung luôn",Vậy đặt giúp mình 1 vé luôn nha
6785,Đi nhậu không bạn <eos> Tao với Việt mới tìm được quán ốc ngon lắm,Khi nào bạn?
6786,9 giờ tối thứ 7,"Được, quán nào thế"
6787,Đối diện Pattaya,Tao không biết Pattaya chỗ nào cả
6788,Đường D4 gần chung cư Hoàng Anh Thanh Bình,"À, tao biết rồi <eos> Tầm 9 giờ kém tao đến"
6789,Tao mới mở ra skin Yasuo mới đẹp lắm <eos> Solo không?,Tao bỏ Liên Minh lâu rồi
6790,Vậy giờ còn chơi game không,Còn chứ <eos> Mấy game AAA
6791,Giàu vậy <eos> Mua game chơi luôn à,Tao chơi game Crack thôi
6792,Có game nào hay giới thiệu tao với nha <eos> Chứ Liên Minh chời nhiều cũng chán,Tối rảnh tao gửi cho mày link tải Game này chơi
6793,Sáng mai bạn rảnh không chỉ mình bài này với,Môn gì vậy bạn
6794,Môn Xác suất thống kê <eos> Bài 4 trong đề cương thầy giao ấy,"Được, mai mình hẹn gặp ở đâu vậy?"
6795,Thư viện trường mình nhé,"Ok, tầng hầm thư viện nhé <eos> Mình không có ổ khóa nên không vào thư viện được"
6796,Hôm nay em có gì vui không?,Hôm nay em đi shopping
6797,Đi ở đâu?,"Nice Store, Trần Hưng Đạo, Quận 5"
6798,Gần công ty anh,Anh đến đó bao giờ chưa?
6799,Chưa <eos> Anh không biết store đó,"Bữa nào anh ghé thử, ở đó nhiều đồ đẹp "
6800,Nghe nói bạn mới chuyển ngành à,"Uk, mới chuyển được 1 tuần trước"
6801,Chuyển qua ngành gì?,Quản lý du dịch
6802,Ngành đó cũng nhiều tiềm năng,"Uk, mình tìm kiểu nghĩ lắm mới quyết định đó"
6803,Chúc bạn qua ngành mới gặp nhiều thuận tiện nhé,Cảm ơn bạn nhiều
6804,Có chứng chỉ Toeic chưa bạn?,Chưa. Mình đang có ý định ôn để thi nè
6805,Dự định thì khi nào vậy?,Chắc bắt đầu từ tuần sau <eos> Còn bạn thì sao? Có chứng chỉ chưa?
6806,"Mình cũng chưa, đang kiếm bạn để ôn cùng",Vậy mình với bạn cùng ôn
6807,"Ok, Bạn có muốn kiếm lớp ôn luyện không? Hay tự ôn",Mình nghĩ tụi mình tự ôn cũng được
6808,"OK, vậy để mình sắp xếp thời gian, bắt đầu từ tuần sau nha.","OK, để mình tìm tài liệu"
6809,ông ơi cho tui hỏi báo cáo có cần làm theo mẫu của khoa không,làm đi ông cho nhìn nó đàng hoàng  <eos> dù gì cũng là bài giữa kì
6810,"ủa hôm qua mày có học online không, thầy giảng cái gì vậy","có, hôm qua thầy giảng chương 2 mà toàn bắt đọc sách rồi trả lời như hôm bữa thôi à  <eos> ủa mà sao nghỉ vậy, mày nghỉ nhiều vô rồi bị cấm thi "
6811,tuần sau tao về rồi ngày mấy tụi bây rảnh đi ăn,mày rảnh ngày nào có bận đi chơi với gia đình không
6812,thứ sáu tuẩn sau tao rảnh hôm đó mày đi ăn được không?,ok lúc đó tao làm xong báo cáo rồi <eos> mày tính đi ăn ở đâu
6813,"đi ăn Hadilao đi, lâu rồi tao chưa ăn lẩu ",vậy đi sớm sớm nha đợi tối đi xếp hàng đông lắm
6814,ok vậy hôm đó trưa mày qua chở tao nha,ok 12 giờ nha 
6815,Nghỉ lễ mày có đi đâu chơi không?,tao đi Đà Lạt với gia đình
6816,"mày đi mấy ngày,khi nào mày về?",Tao đi 5 ngày mới về 
6817,Về nhớ mua quà cho tao nha ,Ở Đà Lạt có gì đâu mà mua
6818,Có mứt dâu đó mày mua cho tao đi ,Vậy nếu đi chơi còn dư tiền tao mua cho
6819,Ủa bài báo cáo đặt tên như thế nào vậy bà  <eos> Tui không thấy thầy ghi trong đề,Mã số sinh viên với tên nha ông <eos> Hôm bữa cuối giờ thầy có nói <eos> Chắc thầy quên ghi vô
6820,Có cần zip bài lại không,Thầy nói không cần đâu nộp thẳng 2 file lên luôn <eos> Mà ông làm bài xong rồi hả? <eos> Nhanh vậy
6821,Tranh thủ tại tuần sau tui về quê,À vậy đi vui vẻ nha lên nhớ đem trái cây đó
6822,Ê mày thấy phim nãy coi hay không <eos> Sao tao thấy nó sạn nhiều quá ,Coi cũng được <eos> Mà có mấy chỗ phi logic thiệt
6823,Trên mạng người ta nói quá trời luôn <eos> Tự nhiên thấy uổng tiền ghê <eos> Biết vậy coi phim Turning Red,Ừa phim đó tao coi rồi dễ thương lắm
6824,Ủa mai đi ăn ở đâu <eos> Mà ăn cái gì mới được,Mày muốn ăn cái gì
6825,Tao dễ lắm ăn cái gì cũng được,Có mày là kén chọn
6826,Vậy đi ăn lẩu đi lâu rồi chưa ăn,Mới đi ăn tuần trước mà lâu
6827,Vậy đi ăn gà ,ok được đó ăn ở tiệm mình hay ăn đúng không
6828,Ừa đúng rồi <eos> Mà đi sớm sớm chứ đi trễ sợ hết bàn,Vậy 11 giờ tao qua mày <eos> Nhớ chuẩn bị sớm tao qua là đi luôn đó 
6829,Lúc rãnh bạn thường làm gì?,Mình thường đi cafe với bạn bè khi rãnh.
6830,Bạn có hay nghe nhạc lúc rãnh rỗi?,Chỉ thỉnh thoảng mình mới nghe nhạc.
6831,Vậy bạn thường đi cafe ở đâu?,Mình thường đi quán cafe Phúc Long ở gần nhà.
6832,Bạn thường đi với ai?,Mình đi với 1 người bạn cấp 3 của mình.
6833,Bạn học trường nào?,Tớ học đại học Tôn Đức Thắng.
6834,Bạn học ngành gì?,Tớ học ngành Kỹ thuật phần mềm
6835,Ngành bạn học thuộc khoa nào?,Ngành tớ học thuộc khoa công nghệ thông tin
6836,Bạn là sinh viên năm mấy rồi?,Tớ là sinh viên năm cuối
6837,Bạn học chương trình học gì?,Tớ học chương trình chất lượng cao
6838,Học phí có cao không?,Học phí tớ thấy xứng đáng với chất lượng học tập
6839,Khi nào bạn ra trường?,Tớ sẽ cố gắng ra trường đúng hạn vào hè này 
6840,Bạn có thấy vui khi học ở trường này không?,Tớ có 
6841,Bạn học lực gì?,Tớ học lực khá
6842,Bạn đã từng rớt môn nào chưa?,Tớ có
6843,Bạn thích hãng phim nào nhất ?,Mình thích hãng phim Marvel nhất
6844,Thể loại phim bạn thích là gì ?,"Mình thích thể loại phim hành động, viễn tưởng."
6845,Bạn có thần tượng ca sĩ nào không ?,Mình rất thích ca sĩ Sơn Tùng MTP.
6846,Bạn có muốn đi xem phim vào cuối tuần này hay không?,Dĩ nhiên là muốn rồi
6847,Mai bạn có muốn đi đá banh chung với tụi mình không?,Xin lỗi mai mình có việc bận rồi.
6848,Bạn thuê trọ bao nhiêu tiền?,Mình thuê khoảng 3 tr một tháng 
6849,Nhà bạn có bao nhiêu người vậy ?,Nhà mình có 4 người.
6850,Nhà trọ bạn ở Phú Mỹ Hưng phải không.,"Không, nhà mình ở New York."
6851,Hiện tại bạn đang ở nhà trọ hay là ở chung với gia đình? ,Hện tại mình đang ở nhà trọ.
6852,Bạn ở nhà trọ một mình à?,"Không, mình ở nhà trọ với một số người bạn của mình."
6853,Bạn ở nhà trọ vậy có nhớ nhà không?,Đôi lúc mình cũng nhớ nhà lắm.
6854,Bạn có hay nấu ăn ở phòng trọ không?,"Không, mình thường với bạn ra ngoài ăn."
6855,Bạn thuê nhà trọ như vậy có mắc không?,Cũng không mắc lắm vì tụi mình chia sẻ tiền nhà với nhau mà.
6856,Bạn có người yêu chưa?,Chưa.
6857,Mình làm quen nhé?,Vâng.
6858,Hôm nay em dậy mấy giờ?,"Dạ, 6 giờ sáng ạ"
6859,Em đi ăn sáng chưa? ,"Dạ, chưa anh"
6860,Anh qua chở em đi ăn sáng nha?,"Dạ, ok anh."
6861,Hôm nay đi học có gì vui không em?,"Dạ, vui lắm anh."
6862,Em đang làm gì đó ?,Em đang ngồi nhắn tin với anh hoy à
6863,Mẫu người yêu lý tưởng của em là gì?,Là mẫu người yêu của mình bây giờ
6864,Quê bạn ở đâu? ,Quê mình ở Đà Lạt.
6865,Đà Lạt có món gì gọi là đặc sản không? ,Đà Lạt có bơ sáp và dâu tây khá là ngon.
6866,Từ đây về quê bạn mất bao lâu?,Từ đây về Đà Lạt mất khoảng 5 tiếng đi xe.
6867,Đà Lạt cách TP.HCM bao xa?,Đà Lạt cách TP.HCM gần 300 km
6868,Bạn có thích không khí ở quê mình chứ?,Mình rất thích không khí ở quê mình vì nó mát mẻ và trong lành
6869,Những dịp lễ bạn có hay về quê không?,Mình chỉ về quê vào dịp Tết hoặc hè vì những dịp lễ Đà Lạt khá đông.
6870,bạn tên gì?,Mình tên Tuân? <eos> còn bạn tên gì? 
6871,Mình tên Huy <eos> Bạn hiện đang làm gì?,"Mình là sinh viên, còn bạn?"
6872,cuối tuần này bạn có rãnh hay không?,cuối tuần này mình rãnh
6873,bạn có muốn đi xem phim vào cuối tuần này hay không?,tất nhiên là muốn rồi
6874,bạn thích xem thể loại phim gì?,Phim gì hay là mình đều xem.
6875,bạn có thường đi xem phim với ai hay không?,mình thường đi xem với bạn bè.
6876,mình thì lâu lâu hay đi 1 mình. <eos> Bạn hay xem phim ở đâu?,Mình hay xem ở CGV.
6877,Vậy cuối tuần này mình đi CGV nhé.,Okk
6878,Bạn đã có người yêu chưa?,"Mình làm gì đã ó người yêu, mình còn đang sợ ế đây này."
6879,Bạn có đang thích ai không?,"có, mình đang thích thầm 1 bạn."
6880,bạn ấy trông như thế nào?,bạn ấy khá xinh 
6881,bạn ấy có học trường mình không?,có bạn ấy học chung ngành với mình.
6882,thế sao bạn không tỏ tình đi?,Hình như bạn ấy có người yêu rồi.
6883,"Hmm, thế bạn nghĩ sao về tình yêu đồng giới =))))?",mình không =))) 
6884,sở thích của bạn là gì?,"Mình thích thể thao, xem phim."
6885,vậy chắc bạn là người hay chơi thể thao nhỉ?,mình cũng chơi 1 vài bộ môn
6886,"mình thì hơi lười, vậy bạn hay chơi những môn nào?",mình thường đá bóng và bơi lội.
6887,bạn thường chơi với ai?,mình hay chơi với bạn bè.
6888,bạn thường ăn gì để cân đối khi chơi thể thao?,mình cũng không biết tại mình đói là có gì ăn đó.
6889,mình cũng muốn thử sức với bộ môn bơi.,vậy bữa nào rảnh mình với bạn cùng đi.
6890,bạn có thích đi du lịch không?,mình rất thích
6891,bạn có thường đi du lịch không?,mình chỉ đi những tỉnh gần gần nơi ở thôi.
6892,bạn thường đi du lịch với ai?,mình thường đi với gia đình.
6893,sắp tới tết bạn có muốn đi đâu đó không?,mình cũng chưa tính tới.
6894,"mình dự định đi đâu đó, bạn có muốn đi cùng không?",okk
6895,bạn có cần tư vấn gì không ạ?,dạ mình muốn mua điện thoại.
6896,bạn muốn mua điện thoại như thế nào?,bạn có thể tư vấn cho mình vài mẫu được không?
6897,"vâng, tất nhiên rồi <eos> bạn thích androi hay apple?",mình thích androi.
6898,đây là vài mẫu đang thịnh hành hiện nay bạn có thể xem qua.,ok bạn
6899,bạn hiện tại đang ở đâu vậy?,mình thuê trọ ở quận 7
6900,bạn thấy chỗ đó có thoải mái không?,cũng thoáng mát và rộng rãi
6901,bạn ở với ai?,mình ở với bạn bè học chung.
6902,giá nơi bạn thuê có mắc không?,giá trung bình mỗi người tầm 1 triệu
6903,xung quang trọ bạn như thế nào?,nhiều của hàng tiện lợi nhưng không có chợ.
6904,tên mày là gì?,tao tên Huy <eos> còn mày thì sao?
6905,Quốc,mày học trường nào? <eos> tao học Tôn Đức Thắng
6906,tao cũng vậy <eos> tao học lập trình,còn tao học thiết kế <eos> mày thấy ngành này học sao?
6907,tao thấy bình thường <eos> tao cũng không thích lắm <eos> tao thì thích thiết kế á mày,sao mày không thích ngành mày vậy?
6908,tại tao không giỏi <eos> tao thích vẽ hơn,vậy sao mày không học thiết kế
6909,tại tao tính thi vào trường khác <eos> không được nên tao học ngành này,chán vậy
6910,mày vẽ đẹp không?,không <eos> xấu quắc à
6911,bạn có thích đi du lịch hông?,mình có  <eos> bạn thì sao? <eos> có thích đi du lịch hông?
6912,có _x0008_chứ <eos> mình _x0008_thích mà mình ít đi lắm,còn mình đi nhiều lắm <eos> một năm mình đi chục lần
6913,nhiều thế <eos> mình không có tiền nên ít đi lắm,trời <eos> sao bạn nghèo vậy?
6914,mình sống ở khu du lịch mà,lẻ ra phải giàu chứ
6915,nhà mình không làm du lịch nên không có tiền,"vậy thôi, mình không nói chuyện với bạn nữa <eos> mình với bạn không cùng đẳng cấp"
6916,Bạn thích mẫu người như thế nào?,"Mình thích bạn nữ tóc dài, da trắng và xinh xắn."
6917,Bạn có người yêu chứ?,"Mình chưa có, nhưng mình đang thích 1 bạn cùng lớp."
6918,Tại sao bạn thích bạn nữ kia?,"Vì bạn ấy dễ thương và xinh xắn, bạn ấy cũng học rất giỏi."
6919,Bạn có thường nói chuyện với bạn ấy thường xuyên không?,Mình và bạn ấy nói chuyện với nhau mỗi ngày.
6920,Bạn nữ có hào hứng khi trò chuyện không?,Có
6921,Bạn có ý định rủ bạn ấy đi chơi không?,"Có, Tết này mình sẽ cùng bạn ấy về quê mình chơi."
6922,Bạn có thường đi chơi cùng bạn ấy không?,Mình thường đi cùng bạn ấy và nhóm bạn đại học.
6923,trưa nay cậu muốn đi ăn không ?,"tất nhiên rồi, nhưng mình sẽ ăn gì ?"
6924,ăn gà ?,mình nghĩ đó là ý kiến hay
6925,chúng ta sẽ đi ăn ở đâu ?,chúng ta sẽ ăn ở KFC
6926,giá cả của quán nó như thế nào?,giá không mắc lắm
6927,bạn ăn ở đó bao giờ chưa?,mình ăn nhiều rồi
6928,_x0008_gà ở đó ngon không?,ngon với giòn lắm
6929,vậy chừng nào đi ăn được ?,sau khi tan học
6930,"xin chào, mình có thể giúp gì cho bạn ?",mình cần mua một cái điện thoại mới
6931,bạn muốn một chiếc điện thoại như thế nào ?,"mình chưa biết, bạn có thể tư vấn mình không ?"
6932,ở đây có chiếc điện thoại nào kèm tai nghe không ?,những chiếc điện thoại có giá 6 triệu trở lên sẽ được tặng kèm tai nghe
6933,điện thoại nào đang là thịnh hành hiện nay ?,hiện tại điện thoại Apple đang rất được ưa chuộng
6934,mắc không bạn?,hơi mắc nhưng đáng tiền nha bạn
6935,bạn mua là ai cũng nhìn bạn khác,khác như thế nào vậy bạn ?
6936,nhìn bạn ra dáng là người có tiền ,bạn có chắc chắn không ?
6937,mình chắc chắn,vậy bán cho mình cái điện thoại Apple 
6938,bạn đã có người yêu chưa ?,mình có người yêu rồi
6939,bạn và người yêu đã quen được bao lâu rồi ?,tớ và người yêu đã quen nhau được 1 năm rồi
6940,bạn đã gặp người yêu như thế nào ?,mình nghĩ nó thật ngại khi nói ra nên mình sẽ không trả lời câu hỏi này
6941,bao lâu thì cậu hẹn hò với người yêu ?,chúng tớ hẹn hò 2 đến 3 lần 1 tuần
6942,Bạn có crush ai khác không?,"có, mình có crush một người."
6943,bạn có thể nói crush bạn là ai không?,đó là một bí mật
